"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Denver Broncos",DEN,"12","4 out of 5 stars","0"
"2",1,"Philadelphia Eagles",PHI,"9","2 out of 5 stars","0"
"3",1,"Pittsburgh Steelers",PIT,"5","3 out of 5 stars","+1"
"4",2,"Baltimore Ravens",BAL,"7","3 out of 5 stars","-1"
"5",2,"Minnesota Vikings",MIN,"6","2 out of 5 stars","0"
"6",2,"Houston Texans",HOU,"6","2 out of 5 stars","0"
"7",2,"Buffalo Bills",BUF,"7","5 out of 5 stars","0"
"8",3,"Kansas City Chiefs",KC,"10","1 out of 5 stars","+1"
"9",3,"Detroit Lions",DET,"8","1 out of 5 stars","+1"
"10",3,"Seattle Seahawks",SEA,"8","3 out of 5 stars","+3"
"11",3,"Los Angeles Rams",LAR,"8","3 out of 5 stars","+13"
"12",3,"Los Angeles Chargers",LAC,"12","5 out of 5 stars","+5"
"13",3,"Green Bay Packers",GB,"5","2 out of 5 stars","+2"
"14",3,"San Francisco 49ers",SF,"14","5 out of 5 stars","-6"
"15",4,"New York Jets",NYJ,"9","5 out of 5 stars","+3"
"16",4,"Dallas Cowboys",DAL,"10","0 out of 5 stars","-2"
"17",4,"Tampa Bay Buccaneers",TB,"9","3 out of 5 stars","-6"
"18",4,"New England Patriots",NE,"14","4 out of 5 stars","+4"
"19",4,"Chicago Bears",CHI,"5","2 out of 5 stars","-3"
"20",4,"Arizona Cardinals",ARI,"8","4 out of 5 stars","-1"
"21",4,"Cleveland Browns",CLE,"9","3 out of 5 stars","+2"
"22",4,"New York Giants",NYG,"14","1 out of 5 stars","-10"
"23",5,"Washington Commanders",WAS,"12","4 out of 5 stars","-3"
"24",5,"Miami Dolphins",MIA,"12","2 out of 5 stars","+1"
"25",5,"Atlanta Falcons",ATL,"5","3 out of 5 stars","+2"
"26",5,"Indianapolis Colts",IND,"11","4 out of 5 stars","0"
"27",5,"Cincinnati Bengals",CIN,"10","2 out of 5 stars","-6"
"28",5,"Jacksonville Jaguars",JAC,"8","4 out of 5 stars","+3"
"29",5,"New Orleans Saints",NO,"11","4 out of 5 stars","+1"
"30",5,"Las Vegas Raiders",LV,"8","4 out of 5 stars","-2"
"31",5,"Tennessee Titans",TEN,"10","5 out of 5 stars","-2"
"32",5,"Carolina Panthers",CAR,"14","3 out of 5 stars","0"